id,supplierType,code,companyName,companyRegNo,countryRegistered,companyAddr,companyUnitNo,companyPostalCode,companyPhone,companyEmail,companyWebsite,contactFname,contactLname,contactPhone,contactNationality,contactIdType,contactId,contacIdExpiry,contactOccupation,contactDesignation,liscProviderName,remitLiscNum,remitLiscExpiry,liscDocUrl,isPayoutPartner,activeStatus
46,1,AG-CORP-1835004G,Feedfish,71325820A,China,2 Truax Place,56-594,,433-897-8984,rheigl1a@csmonitor.com,https://latimes.com,Romola,Heigl,361-666-3429,Somali,FIN,L66379854V,4/11/2024,Senior Cost Accountant,CEO,Canis dingo,89862240F,10/7/2042,http://1und1.de,y,2
47,1,AG-CORP-9148859L,Brainverse,85626091U,China,56617 Coleman Parkway,63-707,,731-420-6389,ldaventry1b@unesco.org,http://census.gov,Lorry,Daventry,362-119-4712,Ndebele,Voter Identification Card,V69531747I,4/8/2029,Research Assistant IV,Specialist,Lorythaixoides concolor,77968285R,16/9/2024,http://rakuten.co.jp,y,2
48,1,AG-CORP-7409258U,Tavu,98352377L,China,8434 Dwight Road,98-425,,872-664-7149,nmarcombe1c@rakuten.co.jp,http://examiner.com,Nevile,Marcombe,902-511-6052,Dhivehi,FIN,P72242885C,14/9/2039,Director of Sales,CEO,Leipoa ocellata,65586479U,1/10/2031,http://globo.com,y,2
49,1,AG-CORP-4415884X,Shufflebeat,72987167L,China,7556 Melby Terrace,39-127,,199-270-1114,kshrimpling1d@marketwatch.com,http://yandex.ru,Kenn,Shrimpling,156-170-1591,Dzongkha,FIN,X57898889Y,22/1/2028,Environmental Tech,Director,Sylvilagus floridanus,37892151Y,22/3/2045,https://reference.com,n,2
50,1,AG-CORP-4481190J,Wikizz,20594667U,China,613 Pennsylvania Place,52-262,,170-362-7125,aferraraccio1e@google.co.uk,https://behance.net,Avivah,Ferraraccio,461-248-3367,Gagauz,Tax Payer ID,T30542613F,25/6/2035,Web Developer I,Assistant,Macaca mulatta,99238857V,31/8/2028,http://skyrock.com,n,2
51,1,AG-CORP-0872212F,Shuffledrive,65383681Q,China,699 Dennis Road,24-400,,510-924-9708,abonick1f@newyorker.com,http://123-reg.co.uk,Alexia,Bonick,303-641-9704,Tamil,Passport,C51831462T,18/9/2021,Design Engineer,CEO,Ictonyx striatus,08123442E,24/9/2035,https://archive.org,n,2
52,1,AG-CORP-1853623I,Livetube,54070467S,China,19 Esker Pass,67-327,,296-980-5203,wmcalroy1g@example.com,http://skype.com,Wallas,McAlroy,288-938-4276,Khmer,Birth Certificate,J31559971K,22/12/2029,VP Sales,Manager,Cochlearius cochlearius,35307938Q,20/9/2025,http://netvibes.com,n,2
53,1,AG-CORP-9892944P,Tanoodle,21952308P,China,7 Kenwood Way,03-832,,959-256-8325,menzley1h@baidu.com,http://bing.com,Michelina,enzley,516-329-1926,Filipino,NRIC,F49551396B,27/9/2019,Business Systems Development Analyst,Manager,Motacilla aguimp,01372579E,17/5/2038,https://comcast.net,n,2
54,1,AG-CORP-9057205P,Fivespan,86477774Y,China,7994 Morning Court,44-228,,613-483-7098,acashin1i@cam.ac.uk,http://barnesandnoble.com,Ara,Cashin,982-648-6779,Indonesian,NRIC,Q61060689N,23/5/2027,Developer III,CEO,Potos flavus,47202939T,24/4/2045,http://taobao.com,y,2
55,1,AG-CORP-2347122A,Eimbee,36102060Y,China,0972 Riverside Street,28-094,,720-271-3936,dethridge1j@mysql.com,https://acquirethisname.com,Ddene,Ethridge,731-494-9489,West Frisian,Social Security Card,Z72544249C,27/5/2028,Project Manager,Manager,Perameles nasuta,35942418Z,25/8/2023,http://livejournal.com,y,2
56,1,AG-CORP-1798583O,Feedfire,47256922O,Thailand,3 High Crossing Hill,78-598,54140,467-809-1520,kroast1k@fotki.com,http://irs.gov,Katharine,Roast,886-891-2747,Mongolian,Birth Certificate,R67171998X,27/2/2027,Environmental Tech,CEO,Balearica pavonina,54523953W,11/2/2037,https://qq.com,y,2
57,1,AG-CORP-6797376H,Browsedrive,06259125V,China,092 Sugar Trail,80-520,,731-537-3620,tcullerne1l@tripod.com,http://jugem.jp,Terrijo,Cullerne,814-929-3173,Guaraní,FIN,Q79621350W,21/3/2042,Director of Sales,CEO,Sciurus vulgaris,93372543Z,28/2/2045,https://gnu.org,n,2
58,1,AG-CORP-9124529V,Realbridge,28058794U,China,74 Warner Street,37-445,,687-709-6343,kverner1m@symantec.com,https://ning.com,Killy,Verner,839-550-8546,Kannada,Permanent Resident Card,S44206150C,4/9/2032,Software Consultant,Director,Heloderma horridum,58307338T,18/9/2032,http://yelp.com,n,1
59,1,AG-CORP-4356635K,Innotype,34010926P,China,4 Northland Plaza,76-644,,347-915-4465,kcescotti1n@wikimedia.org,https://columbia.edu,Keary,Cescotti,336-149-7359,Montenegrin,PAN Card,D25925981I,20/7/2030,VP Accounting,CEO,Naja sp.,01935849L,17/3/2035,http://goodreads.com,y,2
60,1,AG-CORP-4111576Q,Jayo,74081590U,China,2 Bay Pass,99-792,,383-248-8951,trocco1o@omniture.com,http://google.co.uk,Theresa,Rocco,323-996-9689,Korean,Driving License,C91309535O,20/11/2031,Nurse Practicioner,Assistant,Tachybaptus ruficollis,50141969I,1/5/2034,https://jigsy.com,n,1
61,1,AG-CORP-9430058H,Twitterlist,92052560H,China,079 Stoughton Center,09-298,,842-123-9764,etruesdale1p@nytimes.com,https://sciencedirect.com,Elton,Truesdale,966-106-9234,Sotho,Birth Certificate,Y20910467Y,14/2/2021,Nuclear Power Engineer,Specialist,Ara ararauna,57333502Z,17/2/2024,https://linkedin.com,n,2
62,1,AG-CORP-3147269U,Jayo,40559201I,China,5859 Cardinal Terrace,29-393,,850-622-2750,croyall1q@ft.com,https://guardian.co.uk,Costanza,Royall,760-328-9089,Tetum,Singapore Work Permit,D53392939W,24/10/2018,Civil Engineer,CEO,Francolinus leucoscepus,11774890M,24/2/2024,http://hatena.ne.jp,y,1
63,1,AG-CORP-0505674K,Zoomlounge,94926243L,China,72963 Arrowood Plaza,91-326,,199-671-2572,hnelsey1r@seesaa.net,http://theatlantic.com,Henri,Nelsey,635-927-4327,Dutch,PAN Card,Q76873304E,22/1/2019,Help Desk Operator,Assistant,Gazella granti,83787991M,19/1/2043,http://bing.com,y,2
64,1,AG-CORP-2075188Y,Zooxo,51361084Z,Thailand,53 Harbort Junction,86-973,83120,196-253-9568,tcivitillo1s@yale.edu,http://dagondesign.com,Terrye,Civitillo,398-872-9051,Kurdish,FIN,C69307195W,25/7/2027,Speech Pathologist,Assistant,Tayassu tajacu,71326713V,7/7/2017,http://geocities.com,y,1
65,1,AG-CORP-3015689N,Oyonder,50800317A,China,49 Burning Wood Trail,28-653,,169-906-1564,gpapes1t@upenn.edu,http://over-blog.com,Gretchen,Papes,800-482-2026,Swahili,Identification Card,I12974626H,5/12/2024,Environmental Specialist,Specialist,Sceloporus magister,00121274H,8/12/2025,http://ted.com,n,0
66,1,AG-CORP-6873534B,Jaxworks,64818829X,China,2 Lunder Parkway,22-576,,373-795-5284,splayle1u@japanpost.jp,https://goodreads.com,Sampson,Playle,865-951-7117,Amharic,NRIC,R53299229V,22/5/2045,Speech Pathologist,Specialist,Epicrates cenchria maurus,63420252B,7/5/2038,http://prlog.org,n,2
67,1,AG-CORP-9258566E,Centimia,76112646A,China,55000 Lukken Pass,76-786,,859-793-6465,kmccandie1v@edublogs.org,https://imageshack.us,Klemens,McCandie,823-248-6924,Latvian,Permanent Resident Card,H46219931Y,14/11/2037,Pharmacist,Specialist,unavailable,09854690B,10/4/2044,https://spotify.com,y,1
68,1,AG-CORP-2556989Z,Dabjam,59411212I,China,09 Lake View Hill,80-544,,352-827-1984,lduplan1w@altervista.org,http://yahoo.co.jp,Levon,Duplan,537-516-1822,Albanian,Voter Identification Card,F28252918F,16/12/2040,Budget/Accounting Analyst II,Assistant,Connochaetus taurinus,16219092H,16/3/2018,https://amazon.co.uk,y,2
69,1,AG-CORP-5342901Z,Tekfly,54534447S,China,72 Rigney Place,36-997,,445-566-6359,ghaslen1x@i2i.jp,http://dell.com,Genni,Haslen,598-592-5256,Finnish,Voter Identification Card,M29498596V,23/7/2031,Human Resources Assistant III,Assistant,Meleagris gallopavo,12513969J,23/1/2020,https://delicious.com,y,2
70,1,AG-CORP-6628875C,Wordify,87542997G,Malaysia,20732 Birchwood Parkway,28-467,93702,856-540-7939,kkief1y@theguardian.com,https://dailymotion.com,Krishna,Kief,353-331-8429,Montenegrin,Driving License,L79182745Q,19/8/2024,Safety Technician I,Specialist,Agama sp.,64108922A,13/12/2020,https://newsvine.com,y,0
71,1,AG-CORP-9263818Y,Linkbuzz,97386028E,United States,975 Riverside Point,30-002,90045,213-751-1866,tcarnegy1z@theatlantic.com,http://imgur.com,Tani,Carnegy,663-266-3763,Norwegian,Permanent Resident Card,G28287026G,3/4/2034,Automation Specialist IV,Manager,Varanus sp.,57298578L,20/7/2028,http://opensource.org,n,2
72,1,AG-CORP-4010876S,Buzzdog,22115322Q,United States,3783 Atwood Trail,37-654,28205,704-139-7776,bgratton20@boston.com,http://mapquest.com,Beverie,Gratton,512-960-1295,Dari,Employer ID Card,Y22598504O,28/8/2034,Physical Therapy Assistant,Manager,Tachyglossus aculeatus,77593620V,8/11/2036,http://nps.gov,n,2
73,1,AG-CORP-1813826Y,Bluejam,51829300B,China,1 Old Gate Plaza,47-775,,606-899-1865,clearmont21@ox.ac.uk,https://java.com,Chiarra,Learmont,107-765-3219,Tajik,Permanent Resident Card,I11007301A,24/12/2039,Accounting Assistant III,Specialist,Bison bison,35516945X,4/12/2022,https://aboutads.info,y,2
74,1,AG-CORP-2852363V,Skipfire,83672391L,China,3846 Continental Drive,28-295,,117-529-0695,acleverly22@delicious.com,http://cyberchimps.com,Alf,Cleverly,621-890-0665,Kurdish,Health Insurance Card,P69632837G,15/1/2043,Business Systems Development Analyst,Director,Nyctereutes procyonoides,15100430L,25/5/2023,https://woothemes.com,y,2
75,1,AG-CORP-8742741Z,Rhynyx,47724554K,China,0 5th Street,96-975,,455-658-4642,cmorfey23@buzzfeed.com,https://ow.ly,Calley,Morfey,404-790-5556,New Zealand Sign Language,Employer ID Card,E69673081Z,29/3/2045,Staff Scientist,Director,Hymenolaimus malacorhynchus,31793138P,2/5/2040,http://marketwatch.com,n,2
76,1,AG-CORP-2208311K,Yodel,30634400Y,Thailand,9748 High Crossing Terrace,07-437,74110,601-545-4249,ktrimme24@tumblr.com,https://ucoz.com,Kandace,Trimme,631-288-8396,Northern Sotho,PAN Card,Q31644303B,21/6/2039,Geologist IV,Assistant,Columba livia,17062979Z,12/10/2021,https://yellowpages.com,n,2
77,1,AG-CORP-4788523I,Vitz,01335972M,China,8466 Ridgeview Road,64-436,,563-921-6862,psallnow25@theguardian.com,https://github.io,Phedra,Sallnow,232-623-2630,Oriya,Voter Identification Card,U65438271N,20/8/2029,Programmer Analyst II,Assistant,Aquila chrysaetos,67199908O,6/3/2033,https://facebook.com,y,2
78,1,AG-CORP-7341623V,Yozio,95116653G,United States,2062 Summit Plaza,61-174,48670,989-689-9386,fbarca26@joomla.org,https://omniture.com,Field,Barca,215-738-4849,Afrikaans,Passport,R86078689H,2/7/2032,Information Systems Manager,CEO,Papio cynocephalus,81720646W,27/6/2018,https://columbia.edu,n,2
79,1,AG-CORP-6703909J,Browsetype,20390650O,China,2 Moland Alley,42-286,,251-971-8847,pmillett27@paypal.com,https://de.vu,Paule,Millett,533-757-0311,Italian,Birth Certificate,I14026661M,13/2/2028,Marketing Manager,Manager,Lamprotornis chalybaeus,07854367M,7/5/2045,https://nifty.com,n,2
80,1,AG-CORP-1018406H,Zooveo,58751737P,China,29411 Rigney Circle,73-259,,292-427-6977,cgrieger28@oakley.com,https://canalblog.com,Charissa,Grieger,956-299-1641,Yiddish,Village Elder ID,M98760523Z,29/5/2038,Nuclear Power Engineer,Director,Anser caerulescens,72512993G,4/7/2040,https://rakuten.co.jp,n,2
81,1,AG-CORP-5359469I,Voonix,79853610S,China,6778 Hanson Way,71-838,,939-979-9915,gpetrazzi29@google.pl,https://harvard.edu,Gannon,Petrazzi,815-128-8067,Danish,Village Elder ID,C85532329K,25/6/2037,Marketing Manager,Manager,Butorides striatus,97390239V,23/11/2018,http://youku.com,n,2
